id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
8671,409,789,73,2,19,R,0.0,4,Spark plugs,2:06.457
8672,409,668,200,19,20,R,0.0,,Accident,
8673,410,331,140,1,1,1,25.0,56,Finished,1:38.776
8674,410,789,73,2,2,2,18.0,56,Finished,1:37.766
8675,410,665,73,5,3,3,15.0,56,Finished,1:38.809
8676,410,788,169,16,4,4,12.0,56,Finished,1:38.060
8677,410,101,140,3,5,5,10.0,56,Finished,1:37.767
8678,410,562,77,6,6,6,8.0,56,Finished,1:40.499
8679,410,668,170,7,7,7,6.0,56,Finished,1:40.462
8680,410,618,77,9,8,8,4.0,55,+1 Lap,1:40.851
8681,410,496,212,10,9,9,2.0,55,+1 Lap,1:40.131
8682,410,421,200,11,10,10,1.0,55,+1 Lap,1:40.971
8683,410,735,212,15,11,11,0.0,55,+1 Lap,1:39.666
8684,410,784,135,20,12,12,0.0,55,+1 Lap,1:40.349
8685,410,339,200,19,13,13,0.0,55,+1 Lap,1:39.979
8686,410,315,83,12,14,14,0.0,55,+1 Lap,1:41.259
8687,410,231,172,13,15,15,0.0,55,+1 Lap,1:41.041
8688,410,480,83,17,16,16,0.0,55,+1 Lap,1:37.893
8689,410,17,135,8,17,R,0.0,24,Engine,1:41.537
8690,410,638,169,4,18,R,0.0,14,Engine,1:40.102
8691,410,807,172,14,19,R,0.0,5,Collision,1:47.073
8692,410,373,170,18,20,R,0.0,3,Engine,1:44.270
8693,411,788,169,2,1,1,25.0,71,Finished,1:18.892
8694,411,101,140,4,2,2,18.0,71,Finished,1:19.374
8695,411,665,73,5,3,3,15.0,71,Finished,1:20.054
8696,411,789,73,1,4,4,12.0,71,Finished,1:18.785
8697,411,562,77,6,5,5,10.0,70,+1 Lap,1:20.946
8698,411,735,212,11,6,6,8.0,70,+1 Lap,1:21.062
8699,411,618,77,9,7,7,6.0,70,+1 Lap,1:19.929
8700,411,480,83,14,8,8,4.0,70,+1 Lap,1:21.214
8701,411,331,140,3,9,9,2.0,70,+1 Lap,1:19.945
8702,411,17,135,18,10,10,1.0,70,+1 Lap,1:21.014
8703,411,496,212,10,11,11,0.0,70,+1 Lap,1:21.136
8704,411,784,135,19,12,12,0.0,70,+1 Lap,1:20.972
8705,411,286,200,20,13,13,0.0,70,+1 Lap,1:20.859
8706,411,807,172,13,14,14,0.0,69,+2 Laps,1:21.638
8707,411,315,83,15,15,15,0.0,69,+2 Laps,1:20.345
8708,411,668,170,8,16,R,0.0,59,Engine,1:21.360
8709,411,231,172,12,17,R,0.0,55,Engine,1:21.686
8710,411,339,200,17,18,R,0.0,30,Engine,1:22.572
8711,411,373,170,7,19,R,0.0,24,Electrical,1:21.691
8712,411,638,169,16,20,R,0.0,5,Engine,1:22.789
8713,412,789,73,2,1,1,25.0,71,Finished,1:12.539
8714,412,101,140,1,2,2,18.0,71,Finished,1:12.466
8715,412,665,73,3,3,3,15.0,71,Finished,1:12.492
8716,412,331,140,20,4,4,12.0,71,Finished,1:11.845
8717,412,788,169,4,5,5,10.0,71,Finished,1:11.044
8718,412,638,169,14,6,6,8.0,71,Finished,1:12.029
8719,412,496,212,9,7,7,6.0,71,Finished,1:13.452
8720,412,17,135,6,8,8,4.0,71,Finished,1:13.451
8721,412,618,77,5,9,9,2.0,71,Finished,1:13.052
8722,412,373,170,7,10,10,1.0,70,+1 Lap,1:13.758
8723,412,668,170,8,11,11,0.0,70,+1 Lap,1:13.625
8724,412,286,200,19,12,12,0.0,70,+1 Lap,1:13.323
